Name,Right Ascension,Declination,Apparent Magnitude,Constellation
HD 116243,13 24 00.44,-64 32 08.2,4.52,Centauru
V831 Centauri,13 12 17.63,-59 55 13.9,4.58,Centauru
A Centauri,11 34 45.71,-54 15 50.9,4.62,Centauru
HD 110073,12 39 52.56,-39 59 14.1,4.63,Centauru
 Centauri,13 46 39.37,-51 25 57.7,4.64,Centauru
HD 110458,12 42 35.56,-48 48 46.9,4.66,Centauru
HD 113703,13 06 16.73,-48 27 47.7,4.71,Centauru
294 G. Centauri,13 57 38.94,-63 41 11.8,4.71,Centauru
321 G. Centauri,14 09 54.96,-53 26 19.4,4.74,Centauru
4 Centauri,13 53 12.55,-31 55 39.3,4.75,Centauru
340 G. Centauri,14 22 37.12,-58 27 33.0,4.76,Centauru
G Centauri,12 26 31.79,-51 27 02.2,4.82,Centauru
Xi1 Centauri,13 03 33.35,-49 31 38.1,4.83,Centauru
185 G. Centauri,13 12 03.47,-37 48 11.3,4.85,Centauru
HR 4523,11 46 32.25,-40 30 04.8,4.89,Centauru
HD 111597,12 50 41.19,-33 59 57.4,4.9,Centauru
191 G. Centauri,13 14 15.43,-59 06 10.3,4.9,Centauru
HD 129685,14 44 59.20,-35 11 30.6,4.92,Centauru
58 G. Centauri,11 40 53.65,-62 05 24.4,4.93,Centauru
Q Centauri,13 41 44.81,-54 33 33.7,4.99,Centauru
V810 Centauri,11 43 31.20,-62 29 21.8,5.0,Centauru
F Centauri,12 18 59.83,-55 08 34.7,5.01,Centauru
V1019 Centauri,14 52 51.09,-37 48 11.2,5.02,Centauru
V795 Centauri,14 14 57.16,-57 05 09.9,5.03,Centauru
K Centauri,13 29 25.26,-51 09 54.4,5.04,Centauru
Oicron1 Centauri,11 31 46.07,-59 26 31.4,5.07,Centauru
HD 115310,13 16 53.11,-31 30 21.9,5.1,Centauru
Oicron2 Centauri,11 31 48.81,-59 30 56.3,5.12,Centauru
V815 Centauri,11 07 16.76,-42 38 19.6,5.15,Centauru
HD 119921,13 46 56.36,-36 15 06.9,5.15,Centauru
H Centauri,12 57 04.38,-51 11 55.4,5.17,Centauru
C2 Centauri,11 35 55.56,-47 38 29.5,5.26,Centauru
N Centauri,13 52 04.90,-52 48 41.3,5.26,Centauru
D Centauri,12 14 02.73,-45 43 26.1,5.31,Centauru
HD 107832,12 23 35.45,-35 24 45.6,5.32,Centauru
E Centauri,12 08 14.73,-48 41 32.9,5.34,Centauru
V918 Centauri,11 47 19.17,-57 41 47.6,5.42,Centauru
U Centauri,12 28 22.49,-39 02 28.1,5.45,Centauru
C3 Centauri,11 37 34.05,-47 44 50.6,5.46,Centauru
V964 Cen,13 20 37.85,-52 44 52.0,5.47,Centauru
V817 Centauri,12 08 54.60,-41 13 53.7,5.51,Centauru
HD 120987,13 53 32.82,-35 39 51.1,5.53,Centauru
C1 Centauri,11 35 13.36,-47 22 21.2,5.64,Centauru
X² Centauri,12 25 21.76,-35 11 11.0,5.71,Centauru
V744 Centauri,13 39 59.90,-49 57 00.0,5.74,Centauru
V788 Centauri,12 08 53.84,-44 19 33.2,5.75,Centauru
V767 Centauri,13 53 57.25,-47 07 41.4,5.83,Centauru
V914 Centauri,11 40 42.49,-53 58 06.8,5.95,Centauru
V869 Centauri,14 09 35.06,-51 30 16.7,5.96,Centauru
V928 Centauri,12 29 57.88,-41 44 09.1,6.0,Centauru
V824 Centauri,13 10 58.47,-52 34 00.7,6.05,Centauru
3 Centauri,13 51 50.10,-32 59 41.0,6.06,Centauru
V828 Centauri,14 03 27.49,-41 25 23.9,6.08,Centauru
V716 Centauri,14 13 39.84,-54 37 32.2,6.09,Centauru
HD 108063,12 25 08.62,-42 30 51.3,6.1,Centauru
HD 121056,13 53 52.0,-35 18 52,6.17,Centauru
V790 Centauri,13 22 35.7,-60 58 20.0,6.18,Centauru
V992 Centauri,14 05 46.53,-54 40 09.5,6.2,Centauru
V789 Centauri,13 04 48.25,-41 11 46.6,6.24,Centauru
V809 Centauri,11 31 15.05,-61 16 42.5,6.28,Centauru
V765 Centauri,13 39 40.85,-39 44 51.2,6.29,Centauru
V883 Centauri,14 08 56.27,-59 16 36.0,6.34,Centauru
R Centauri,14 16 34.20,-59 54 50.0,6.39,Centauru
V766 Centauri,13 47 10.87,-62 35 22.9,6.4,Centauru
V1154 Centauri,13 05 30.83,-52 06 56.5,6.43,Centauru
V827 Centauri,13 44 16.03,-51 00 44.7,6.44,Centauru
V808 Centauri,11 29 15.14,-63 33 14.2,6.45,Centauru
V871 Centauri,11 38 20.37,-63 22 21.9,6.46,Centauru
T Centauri,13 41 45.58,-33 35 50.6,6.58,Centauru
HD 114729,13 12 44.26,-31 52 24.1,6.69,Centauru
HD 117253,13 30 25.0,-58 39 52,6.75,Centauru
HD 117618,13 32 25.0,-47 16 16,7.18,Centauru
HD 117207,13 29 21.11,-35 34 15.6,7.26,Centauru
HD 102117,11 44 50.46,-58 42 13.4,7.47,Centauru
HD 121504,13 57 17.24,-56 02 24.5,7.54,Centauru
Przybylki' tar,11 37 37.0406,-46 42 34.882,8.02,Centauru
HD 109749,12 37 16.38,-40 48 43.6,8.1,Centauru
HD 101930,11 43 30.11,-58 00 24.8,8.21,Centauru
HD 114386,13 10 39.82,-35 03 17.2,8.73,Centauru
HD 113538,13 04 57,-52 26 35,9.02,Centauru
HD 125595,14 21 23,-40 23 39,9.03,Centauru
HD 103197,11 52 52.98,-50 17 34.2,9.41,Centauru
PR B1259-63,13 02 47.66,-63 50 08.07,10.08,Centauru
WAP-131,14 00 46.0,-30 35 01,10.1,Centauru
WAP-87,12 21 18.0,-52 50 27,10.7,Centauru
WAP-15,13 55 43.0,-32 09 35,10.9,Centauru
Proxia Centauri,14 29 42.95,-62 40 46.1,11.05,Centauru
WAP-130,13 32 25.0,-42 28 31,11.1,Centauru
WAP-108,13 03 19.0,-49 38 23,11.2,Centauru
WAP-41,12 42 28.5,-30 38 24,11.6,Centauru
1A 1118-61,11 20 57.18,-61 55 00.2,12.12,Centauru
WAP-129,11 45 12.0,-42 03 50,12.3,Centauru
Krzeinki' tar,11 21 15.78,-60 37 22.7,13.25,Centauru
BP 37093,12 38 49.93,-49 48 01.2,13.96,Centauru
Alpha Cephei,21 18 34.58,+62 35 07.6,2.45,Cepheu
Gaa Cephei,23 39 20.98,+77 37 55.1,3.21,Cepheu
Beta Cephei,21 28 39.58,+70 33 38.5,3.23,Cepheu
Zeta Cephei,22 10 51.26,+58 12 04.5,3.39,Cepheu
Eta Cephei,20 45 17.27,+61 50 12.5,3.41,Cepheu
Iota Cephei,22 49 40.91,+66 12 02.6,3.5,Cepheu
Delta Cephei,22 29 10.25,+58 24 54.7,4.07,Cepheu
Epilon Cephei,22 15 01.68,+57 02 36.5,4.18,Cepheu
Theta Cephei,20 29 34.83,+62 59 38.9,4.21,Cepheu
u Cephei,21 43 30.45,+58 46 48.2,4.23,Cepheu
2 Urae inori,01 08 44.16,+86 15 25.6,4.24,Cepheu
Nu Cephei,21 45 26.93,+61 07 14.9,4.25,Cepheu
Kappa Cephei,20 08 53.32,+77 42 40.9,4.38,Cepheu
Pi Cephei,23 07 53.84,+75 23 15.3,4.41,Cepheu
Xi Cephei,22 03 47.45,+64 37 40.7,4.45,Cepheu
HR 7955,20 45 21.20,+57 34 49.1,4.52,Cepheu
11 Cephei,21 41 55.08,+71 18 40.3,4.55,Cepheu
HD 217382,22 54 24.38,+84 20 46.0,4.7,Cepheu
Oicron Cephei,23 18 37.41,+68 06 41.1,4.75,Cepheu
9 Cephei,21 37 55.23,+62 04 55.0,4.76,Cepheu
HD 216446,22 47 28.95,+83 09 13.4,4.77,Cepheu
24 Cephei,22 09 48.37,+72 20 28.3,4.79,Cepheu
16 Cephei,21 59 15.10,+73 10 49.0,5.04,Cepheu
OV Cephei,07 40 31.09,+87 01 12.6,5.05,Cepheu
Labda Cephei,22 11 30.58,+59 24 52.3,5.05,Cepheu
HD 223274,23 47 54.75,+67 48 24.5,5.05,Cepheu
19 Cephei,22 05 08.79,+62 16 47.4,5.07,Cepheu
31 Cephei,22 35 45.78,+73 38 35.3,5.08,Cepheu
HD 30338,05 00 20.72,+81 11 38.5,5.09,Cepheu
HD 25007,04 10 02.79,+80 41 55.2,5.1,Cepheu
VV Cephei,21 56 39.14,+63 37 32.0,5.11,Cepheu
78 Draconi,21 43 04.13,+72 19 12.7,5.18,Cepheu
6 Cephei,21 19 22.21,+64 52 18.6,5.19,Cepheu
30 Cephei,22 38 39.05,+63 35 04.3,5.19,Cepheu
HD 210855,22 11 48.52,+56 50 20.6,5.24,Cepheu
HD 218029,23 03 32.85,+67 12 33.1,5.25,Cepheu
18 Cephei,22 03 52.93,+63 07 11.2,5.26,Cepheu
20 Cephei,22 05 00.48,+62 47 07.9,5.27,Cepheu
HD 212710,22 13 10.17,+86 06 28.3,5.27,Cepheu
HD 210939,22 12 02.01,+60 45 32.7,5.37,Cepheu
HD 26836,04 27 02.89,+80 49 27.2,5.42,Cepheu
7 Cephei,21 27 46.16,+66 48 32.9,5.42,Cepheu
HD 19978,03 20 19.58,+77 44 05.6,5.44,Cepheu
Rho2 Cephei,22 29 52.97,+78 49 27.6,5.45,Cepheu
HD 26659,04 30 00.60,+83 20 24.5,5.47,Cepheu
HD 213022,22 26 00.78,+70 46 15.2,5.47,Cepheu
HD 18438,03 06 07.95,+79 25 06.6,5.49,Cepheu
V408 Cephei,04 28 13.30,+83 48 27.9,5.51,Cepheu
V381 Cephei,21 19 15.69,+58 37 24.6,5.51,Cepheu
HD 210884,22 10 38.90,+70 07 57.1,5.52,Cepheu
26 Cephei,22 27 05.31,+65 07 56.2,5.52,Cepheu
HD 205139,21 30 59.29,+60 27 34.0,5.53,Cepheu
12 Cephei,21 47 25.31,+60 41 33.7,5.53,Cepheu
HD 200205,20 59 25.33,+59 26 18.8,5.54,Cepheu
14 Cephei,22 02 04.58,+58 00 01.3,5.55,Cepheu
V388 Cephei,23 15 37.71,+70 53 17.1,5.56,Cepheu
HD 221525,23 26 59.92,+87 18 26.8,5.56,Cepheu
HD 4853,00 54 52.76,+83 42 26.9,5.59,Cepheu
4 Cephei,20 43 10.98,+66 39 26.5,5.59,Cepheu
HD 6798,01 12 16.51,+79 40 26.3,5.6,Cepheu
HD 220974,23 27 16.42,+70 21 35.3,5.6,Cepheu
HD 216380,22 51 22.51,+61 41 47.9,5.61,Cepheu
HD 20084,03 32 19.72,+84 54 40.9,5.62,Cepheu
HD 202214,21 11 48.24,+59 59 11.8,5.64,Cepheu
HD 225216,00 04 41.84,+67 09 59.0,5.68,Cepheu
HD 208095,21 52 01.02,+55 47 48.3,5.7,Cepheu
HD 214035,22 32 16.27,+76 13 35.3,5.7,Cepheu
HD 206267,21 38 57.62,+57 29 20.6,5.74,Cepheu
13 Cephei,21 54 53.16,+56 36 40.4,5.74,Cepheu
25 Cephei,22 18 12.59,+62 48 15.7,5.75,Cepheu
HD 211029,22 12 22.45,+63 17 27.9,5.76,Cepheu
HR 774,02 47 47.63,+81 26 55.2,5.8,Cepheu
HD 214710,22 37 12.86,+75 22 18.5,5.8,Cepheu
HD 192781,20 13 27.57,+60 38 25.6,5.81,Cepheu
HD 200614,21 02 09.00,+56 40 10.6,5.83,Cepheu
Rho1 Cephei,22 26 42.45,+78 47 09.4,5.83,Cepheu
HD 22701,04 10 00.22,+86 37 34.9,5.84,Cepheu
HD 208682,21 55 30.99,+65 19 14.9,5.84,Cepheu
HD 221861,23 34 59.03,+71 38 31.4,5.86,Cepheu
HD 201636,21 06 23.39,+71 25 55.5,5.88,Cepheu
HD 211554,22 16 26.51,+57 13 12.8,5.88,Cepheu
HD 217157,22 51 02.94,+85 22 24.5,5.89,Cepheu
HD 219485,23 14 37.02,+74 13 52.5,5.89,Cepheu
V414 Cephei,20 44 22.04,+56 29 18.3,5.91,Cepheu
77 Draconi,21 05 29.21,+78 07 34.8,5.91,Cepheu
HD 18778,03 11 42.85,+81 28 14.6,5.92,Cepheu
HD 203399,21 15 42.39,+77 00 44.1,5.92,Cepheu
HD 207198,21 44 53.28,+62 27 38.1,5.94,Cepheu
HD 222386,23 39 10.16,+75 17 34.3,5.95,Cepheu
HD 223128,23 46 36.73,+66 46 56.1,5.95,Cepheu
HD 209112,21 58 53.51,+62 41 52.6,5.96,Cepheu
HD 205072,21 24 49.40,+80 31 29.5,5.97,Cepheu
HD 222387,23 39 21.17,+74 00 09.4,5.98,Cepheu
HD 200039,20 54 44.28,+75 55 31.7,5.99,Cepheu
HD 202987,21 17 14.23,+55 47 52.7,6.0,Cepheu
HD 431,00 09 19.83,+79 42 52.7,6.01,Cepheu
HD 213973,22 33 02.70,+69 54 48.1,6.01,Cepheu
HD 216595,22 53 03.77,+60 06 03.7,6.01,Cepheu
HD 197373,20 40 17.88,+60 30 17.3,6.02,Cepheu
HD 12005,02 02 57.04,+77 54 58.6,6.04,Cepheu
HD 212495,22 23 00.50,+62 25 09.6,6.04,Cepheu
HD 12467,02 09 25.44,+81 17 45.3,6.05,Cepheu
HD 8065,01 23 46.82,+78 43 33.8,6.07,Cepheu
HD 216102,22 48 44.24,+62 56 18.7,6.07,Cepheu
HD 206842,21 42 45.37,+59 16 15.0,6.1,Cepheu
HD 203574,21 20 33.50,+60 45 23.2,6.11,Cepheu
V426 Cephei,21 27 25.30,+59 45 00.4,6.11,Cepheu
HD 211300,22 12 52.72,+73 18 25.7,6.11,Cepheu
HD 203501,21 13 21.60,+81 13 51.5,6.12,Cepheu
HD 211242,22 13 49.71,+63 09 44.5,6.13,Cepheu
HD 204754,21 28 52.72,+55 25 07.2,6.14,Cepheu
HD 36905,06 01 20.17,+85 10 55.6,6.17,Cepheu
HD 197734,20 42 39.69,+60 36 04.9,6.17,Cepheu
HD 208606,21 55 20.60,+61 32 30.5,6.17,Cepheu
HD 207780,21 49 19.01,+61 16 22.1,6.18,Cepheu
HD 212454,22 23 00.17,+57 17 04.6,6.18,Cepheu
HD 216172,22 49 00.68,+68 34 12.2,6.19,Cepheu
HD 6319,01 16 12.60,+87 08 44.0,6.2,Cepheu
HD 218560,23 07 57.20,+64 13 21.2,6.21,Cepheu
HD 199661,20 56 17.01,+56 53 15.0,6.23,Cepheu
HD 6473,01 09 12.29,+80 00 42.0,6.24,Cepheu
HD 218537,23 07 47.74,+63 38 00.5,6.25,Cepheu
HD 214019,22 33 16.76,+70 22 25.3,6.26,Cepheu
HD 7238,01 16 31.04,+79 54 35.5,6.27,Cepheu
HD 210905,22 11 56.74,+59 05 03.8,6.29,Cepheu
HD 213232,22 28 19.48,+64 05 06.8,6.3,Cepheu
V398 Cephei,00 03 51.63,+66 42 43.9,6.31,Cepheu
Delta Cephei,22 29 09.23,+58 24 14.7,6.3,Cepheu
HD 209258,21 57 51.07,+74 59 48.3,6.32,Cepheu
V379 Cephei,20 43 13.69,+57 06 50.4,6.32,Cepheu
HD 215907,22 47 23.23,+58 28 58.8,6.33,Cepheu
Xi Cephei,22 03 46.22,+64 37 41.5,6.34,Cepheu
HD 210220,22 07 09.65,+58 50 26.8,6.34,Cepheu
HD 1141,00 16 13.88,+76 57 02.7,6.35,Cepheu
HD 219841,23 17 18.86,+75 17 56.5,6.35,Cepheu
80 Draconi,22 10 15.32,+72 06 40.7,6.36,Cepheu
HR 9038,23 52 24.52,+75 32 40.2,6.36,Cepheu
HD 208132,21 51 37.25,+65 45 09.9,6.37,Cepheu
HD 3440,00 39 47.75,+82 29 36.9,6.38,Cepheu
HD 202582,21 13 42.46,+64 24 15.1,6.38,Cepheu
V444 Cephei,22 06 13.55,+56 20 36.2,6.38,Cepheu
HD 25904,04 17 51.85,+80 32 08.7,6.39,Cepheu
HD 208947,21 57 11.09,+66 09 22.2,6.41,Cepheu
V421 Cephei,21 17 18.79,+58 36 41.4,6.42,Cepheu
V422 Cephei,21 18 32.43,+61 11 03.8,6.43,Cepheu
V438 Cephei,21 54 26.54,+80 18 30.9,6.43,Cepheu
RW Cephei,22 23 07.02,+55 57 47.6,6.44,Cepheu
HD 12918,02 16 45.27,+83 33 41.5,6.45,Cepheu
HD 198781,20 49 17.39,+64 02 32.2,6.45,Cepheu
HD 207636,21 47 00.87,+70 09 03.4,6.45,Cepheu
HD 215588,22 45 03.70,+58 08 50.6,6.45,Cepheu
HD 12927,02 12 49.98,+79 41 29.3,6.46,Cepheu
HD 212136,22 20 38.77,+58 24 35.5,6.46,Cepheu
HD 217348,22 59 09.00,+59 48 52.8,6.46,Cepheu
V431 Cephei,21 35 25.91,+68 13 09.3,6.47,Cepheu
HD 207826,21 49 08.12,+66 47 31.9,6.49,Cepheu
HD 224890,00 01 39.30,+73 36 42.8,6.5,Cepheu
HD 32196,05 31 48.00,+85 56 19.4,6.5,Cepheu
HD 198236,20 44 33.08,+69 45 06.8,6.5,Cepheu
V Cephei,23 56 27.56,+83 11 28.0,6.57,Cepheu
V419 Cephei,21 12 47.25,+60 05 52.8,6.62,Cepheu
79 Draconi,21 52 46.94,+73 42 08.2,6.65,Cepheu
15 Cephei,22 03 53.86,+59 48 52.5,6.69,Cepheu
AH Cephei,22 47 52.94,+65 03 43.8,6.88,Cepheu
U Cephei,01 02 18.34,+81 52 32.1,6.9,Cepheu
HD 12648,02 19 00.0,+85 44 10,6.98,Cepheu
E Cephei,21 53 48.10,+62 36 51.9,7.03,Cepheu
DQ Cephei,20 57 48.61,+55 29 15.6,7.26,Cepheu
HD 204521,21 25 16.80,+70 28 39.1,7.29,Cepheu
HD 207538,21 47 39.79,+59 12 01.3,7.3,Cepheu
T Cephei,21 09 32.00,+68 29 25.0,7.33,Cepheu
V380 Cephei,21 01 36.92,+68 09 47.8,7.36,Cepheu
VW Cephei,20 37 21.54,+75 36 01.5,7.38,Cepheu
 Cephei,21 25 12.83,+78 37 28.2,7.4,Cepheu
NY Cephei,22 58 39.80,+63 04 37.7,7.44,Cepheu
V368 Cephei,23 19 26.63,+79 00 12.7,7.54,Cepheu
W Cephei,22 36 27.56,+58 25 33.9,7.59,Cepheu
EI Cephei,21 28 28.21,+76 24 12.6,7.61,Cepheu
CW Cephei,23 04 02.22,+63 23 48.8,7.67,Cepheu
IR Cephei,21 57 51.93,+61 01 07.9,7.86,Cepheu
EK Cephei,21 41 21.50,+69 41 34.1,7.89,Cepheu
HD 204827,21 28 57.76,+58 44 23.2,7.94,Cepheu
XZ Cephei,22 32 25.08,+67 09 02.5,8.51,Cepheu
ZZ Cephei,22 45 02.61,+68 07 58.4,8.6,Cepheu
DH Cephei,22 46 54.11,+58 05 03.5,8.61,Cepheu
CQ Cephei,22 36 53.95,+56 54 21.0,8.8,Cepheu
WX Cephei,22 31 15.79,+63 31 23.6,9.0,Cepheu
HD 211853,22 18 45.61,+56 07 33.9,9.0,Cepheu
XX Cephei,23 38 20.29,+64 20 02.7,9.18,Cepheu
RZ Cephei,22 39 13.18,+64 51 30.6,9.19,Cepheu
IL Cephei,22 53 15.60,+62 08 45.0,9.31,Cepheu
EG Cephei,20 15 56.83,+76 48 35.7,9.49,Cepheu
Kruger 60,22 27 59.47,+57 41 45.2,9.59,Cepheu
HIP 109384,22 08 32.0,+71 18 52,9.63,Cepheu
CR Cephei,22 46 24.77,+59 26 31.9,9.64,Cepheu
HD 219460,23 15 12.39,+60 27 01.8,9.89,Cepheu
4U 2206+54,23 07 56.24,+54 31 06.4,9.9,Cepheu
V Cephei,22 21 33.20,+73 40 27.1,10.35,Cepheu
V354 Cephei,22 33 35,+58 53 45,10.9,Cepheu
Kruger 60,22 27 59.57,+57 41 45.3,10.3,Cepheu
CP Cephei,21 57 52.69,+56 09 50.1,10.58,Cepheu
AK Cephei,22 28 50.09,+58 12 39.4,10.86,Cepheu
EE Cephei,23 09 22.76,+55 45 24.2,10.9,Cepheu
BH Cephei,22 01 42.87,+69 44 36.5,11.01,Cepheu
GW Cephei,01 45 58.58,+80 04 55.3,11.21,Cepheu
WZ Cephei,23 22 24.22,+72 54 56.7,11.23,Cepheu
BO Cephei,22 16 54.06,+70 03 45.0,11.55,Cepheu
WR 152,22 16 24.04,+55 37 36.7,11.61,Cepheu
DI Cephei,22 56 11.53,+58 40 01.8,11.95,Cepheu
CX Cephei,22 09 33.44,+57 44 30.5,12.12,Cepheu
V350 Cephei,20 43 00.01,+66 11 28.0,16.2,Cepheu
PV Cephei,20 45 53.94,+67 57 38.7,17.46,Cepheu
Beta Ceti,00 43 35.23,-17 59 12.1,2.04,Cetu
Alpha Ceti,03 02 16.78,+04 05 23.7,2.54,Cetu
ira,02 19 20.79,-02 58 37.4,3.04,Cetu
Eta Ceti,01 08 35.26,-10 10 54.9,3.46,Cetu
Gaa Ceti,02 43 18.12,+03 14 10.2,3.47,Cetu
Tau Ceti,01 44 05.13,-15 56 22.4,3.49,Cetu
Iota Ceti,00 19 25.68,-08 49 25.8,3.56,Cetu
Theta Ceti,01 24 01.45,-08 10 57.9,3.6,Cetu
Zeta Ceti,01 51 27.61,-10 20 05.8,3.74,Cetu
Upilon Ceti,02 00 00.22,-21 04 40.0,3.99,Cetu
Delta Ceti,02 39 28.95,+00 19 42.7,4.08,Cetu
Pi Ceti,02 44 07.35,-13 51 31.2,4.24,Cetu
u Ceti,02 44 56.37,+10 06 51.2,4.27,Cetu
Xi2 Ceti,02 28 09.52,+08 27 36.3,4.3,Cetu
Xi1 Ceti,02 13 00.01,+08 50 48.3,4.36,Cetu
7 Ceti,00 14 38.43,-18 55 57.7,4.44,Cetu
2 Ceti,00 03 44.37,-17 20 09.5,4.55,Cetu
Chi Ceti,01 49 35.19,-10 41 10.3,4.66,Cetu
Labda Ceti,02 59 42.90,+08 54 26.6,4.71,Cetu
iga Ceti,02 32 05.28,-15 14 39.6,4.74,Cetu
Phi1 Ceti,00 44 11.41,-10 36 33.4,4.77,Cetu
20 Ceti,00 53 00.49,-01 08 39.2,4.78,Cetu
Epilon Ceti,02 39 33.73,-11 52 17.7,4.83,Cetu
Kappa1 Ceti,03 19 21.54,+03 22 11.9,4.84,Cetu
Nu Ceti,02 35 52.49,+05 35 35.9,4.87,Cetu
Rho Ceti,02 25 57.01,-12 17 25.6,4.88,Cetu
6 Ceti,00 11 15.91,-15 28 02.4,4.89,Cetu
46 Ceti,01 25 37.21,-14 35 55.5,4.9,Cetu
56 Ceti,01 56 40.16,-22 31 36.2,4.92,Cetu
175 G. Ceti,01 42 43.52,-03 41 24.4,4.98,Cetu
3 Ceti,00 04 30.12,-10 30 34.2,4.99,Cetu
94 Ceti,03 12 46.32,-01 11 45.4,5.07,Cetu
48 Ceti,01 29 36.10,-21 37 45.6,5.11,Cetu
AD Ceti,00 14 27.59,-07 46 49.9,5.13,Cetu
37 Ceti,01 14 23.97,-07 55 24.6,5.14,Cetu
Phi2 Ceti,00 50 07.72,-10 38 37.6,5.17,Cetu
13 Ceti,00 35 14.64,-03 35 33.9,5.2,Cetu
69 Ceti,02 21 56.64,+00 23 44.5,5.29,Cetu
Phi3 Ceti,00 56 01.51,-11 15 59.4,5.35,Cetu
75 Ceti,02 32 09.44,-01 02 05.3,5.36,Cetu
25 Ceti,01 03 02.60,-04 50 10.9,5.4,Cetu
50 Ceti,01 35 58.96,-15 24 00.8,5.41,Cetu
39 Ceti,01 16 36.35,-02 30 00.8,5.42,Cetu
60 Ceti,02 03 11.61,+00 07 42.4,5.42,Cetu
70 Ceti,02 22 12.41,-00 53 05.1,5.42,Cetu
57 Ceti,01 59 46.19,-20 49 28.5,5.43,Cetu
AR Ceti,02 00 26.77,-08 31 25.8,5.43,Cetu
47 Ceti,01 26 51.56,-13 03 23.5,5.51,Cetu
67 Ceti,02 16 58.99,-06 25 18.7,5.51,Cetu
80 Ceti,02 36 00.07,-07 49 53.2,5.53,Cetu
EL Ceti,03 12 26.37,+06 39 39.2,5.55,Cetu
28 Ceti,01 06 05.13,-09 50 21.7,5.58,Cetu
T Ceti,00 21 46.23,-20 03 28.8,5.61,Cetu
Phi4 Ceti,00 58 43.89,-11 22 47.8,5.62,Cetu
49 Ceti,01 34 37.72,-15 40 34.9,5.62,Cetu
93 Ceti,03 02 22.51,+04 21 10.3,5.62,Cetu
95 Ceti,03 18 22.28,-00 55 48.5,5.62,Cetu
64 Ceti,02 11 21.16,+08 34 12.3,5.64,Cetu
66 Ceti,02 12 47.32,-02 23 36.5,5.65,Cetu
81 Ceti,02 37 41.78,-03 23 45.8,5.65,Cetu
38 Ceti,01 14 49.18,-00 58 27.5,5.7,Cetu
97 Ceti,03 21 06.77,+03 40 32.5,5.7,Cetu
30 Ceti,01 07 46.12,-09 47 08.1,5.71,Cetu
12 Ceti,00 30 02.35,-03 57 26.3,5.72,Cetu
84 Ceti,02 41 13.87,-00 41 43.3,5.72,Cetu
77 Ceti,02 34 42.59,-07 51 33.4,5.74,Cetu
7 G. Ceti,00 04 19.76,-16 31 44.0,5.78,Cetu
BK Ceti,01 52 52.09,-16 55 44.8,5.78,Cetu
268 G. Ceti,02 36 03.83,+06 53 00.1,5.79,Cetu
42 Ceti,01 19 48.29,-00 30 32.4,5.87,Cetu
AB Ceti,02 26 00.38,-15 20 28.0,5.88,Cetu
HD 4732,00 49 13.90,-24 08 11.5,5.9,Cetu
34 Ceti,01 11 43.54,-02 15 03.7,5.93,Cetu
14 Ceti,00 35 32.75,-00 30 19.7,5.94,Cetu
63 Ceti,02 11 35.84,-01 49 31.3,5.94,Cetu
61 Ceti,02 03 48.12,-00 20 24.5,5.96,Cetu
33 Ceti,01 10 33.56,+02 26 44.6,5.97,Cetu
BG Ceti,00 36 06.90,-22 50 32.0,6.06,Cetu
26 Ceti,01 03 48.96,+01 22 01.0,6.06,Cetu
27 Ceti,01 05 36.90,-09 58 45.3,6.09,Cetu
CF Ceti,00 08 33.49,-17 34 40.9,6.11,Cetu
18 Ceti,00 45 28.71,-12 52 49.1,6.15,Cetu
21 Ceti,00 54 17.58,-08 44 26.0,6.15,Cetu
EH Ceti,02 57 04.56,+04 30 03.5,6.15,Cetu
10 Ceti,00 26 37.37,-00 02 58.3,6.16,Cetu
44 Ceti,01 24 02.43,-08 00 26.1,6.21,Cetu
1 Ceti,23 58 21.17,-15 50 50.9,6.28,Cetu
71 Ceti,02 24 58.39,-02 46 48.1,6.34,Cetu
9 Ceti,00 22 51.55,-12 12 34.5,6.39,Cetu
32 Ceti,01 10 11.96,-08 54 21.7,6.4,Cetu
HD 11964,01 57 09.82,-10 14 30.6,6.42,Cetu
29 Ceti,01 07 59.58,+01 59 38.7,6.44,Cetu
25 Arieti,02 27 23.56,+10 11 55.7,6.45,Cetu
HD 1461,00 18 41.62,-08 03 09.5,6.47,Cetu
43 Ceti,01 22 34.82,-00 26 58.7,6.5,Cetu
40 Ceti,01 16 58.86,-02 16 43.7,6.52,Cetu
58 Ceti,01 57 59.39,-02 03 34.2,6.52,Cetu
35 Ceti,01 12 30.75,+02 28 18.6,6.55,Cetu
15 Ceti,00 38 04.57,-00 30 12.6,6.64,Cetu
Chi Ceti,01 49 23.36,-10 42 12.8,6.74,Cetu
79 Ceti,02 35 20.02,-03 33 34.3,6.83,Cetu
HD 4747,00 49 26.8,-23 12 45,7.15,Cetu
HD 7449,01 14 29,-05 02 51,7.5,Cetu
HD 11506,01 52 50.53,-19 30 25.1,7.54,Cetu
HD 5319,00 55 01.40,+00 47 22.4,8.05,Cetu
HD 12039,01 57 48.98,-21 54 05.3,8.11,Cetu
HD 1666,00 20 52.0,-19 55 52,8.17,Cetu
HD 224693,23 59 53.83,-22 25 41.2,8.23,Cetu
HD 9174,01 30 01.0,-19 36 16,8.4,Cetu
HD 6718,01 07 48.66,-08 14 01.3,8.45,Cetu
58 Ceti,01 57 56.14,-02 05 57.7,8.89,Cetu
HD 1690,00 21 13,-08 16 32,9.17,Cetu
